#Sec	Read	Write	Diff read	Diff send
0	0	0	0	0
1	21	0	21	0
2	36	16	15	16
3	43	35	7	19
4	57	54	14	19
5	64	67	7	13
6	78	86	14	19
7	87	105	9	19
8	98	124	11	19
9	107	143	9	19
10	118	162	11	19
11	128	181	10	19
12	139	200	11	19
13	148	219	9	19
14	159	228	11	9
15	168	247	9	19
16	178	266	10	19
17	189	285	11	19
18	197	304	8	19
19	209	323	12	19
20	219	342	10	19
21	232	361	13	19
22	241	380	9	19
23	251	399	10	19
24	261	418	10	19
25	272	437	11	19
26	281	456	9	19
27	292	464	11	8
28	300	483	8	19
29	313	502	13	19
30	320	514	7	12
31	332	533	12	19
32	340	552	8	19
33	353	559	13	7
34	361	578	8	19
35	373	597	12	19
36	382	616	9	19
37	395	635	13	19
38	402	654	7	19
39	414	673	12	19
40	422	692	8	19
41	436	711	14	19
42	443	730	7	19
43	457	749	14	19
44	464	768	7	19
45	478	787	14	19
46	485	806	7	19
47	499	825	14	19
48	504	844	5	19
49	519	863	15	19
50	526	882	7	19
51	539	901	13	19
52	547	920	8	19
53	559	927	12	7
54	566	946	7	19
55	578	965	12	19
56	587	984	9	19
57	598	1003	11	19
58	607	1022	9	19
59	619	1042	12	20
60	627	1062	8	20
61	643	1082	16	20
62	651	1102	8	20
63	665	1122	14	20
64	671	1142	6	20
65	686	1162	15	20
66	692	1182	6	20
67	708	1202	16	20
68	714	1222	6	20
69	729	1242	15	20
70	736	1262	7	20
71	750	1282	14	20
72	759	1302	9	20
73	770	1322	11	20
74	779	1342	9	20
75	791	1350	12	8
76	801	1370	10	20
77	811	1390	10	20
78	822	1410	11	20
79	832	1430	10	20
80	844	1450	12	20
81	852	1470	8	20
82	864	1478	12	8
83	873	1498	9	20
84	885	1518	12	20
85	893	1538	8	20
86	905	1558	12	20
87	914	1578	9	20
88	926	1598	12	20
89	936	1618	10	20
90	948	1638	12	20
91	960	1658	12	20
92	969	1678	9	20
93	982	1699	13	21
94	992	1720	10	21
95	1004	1741	12	21
96	1016	1762	12	21
97	1027	1783	11	21
98	1038	1804	11	21
99	1049	1825	11	21
100	1061	1846	12	21
101	1072	1867	11	21
102	1083	1888	11	21
103	1094	1909	11	21
104	1106	1930	12	21
105	1117	1951	11	21
106	1128	1972	11	21
107	1139	1982	11	10
108	1149	2003	10	21
109	1163	2024	14	21
110	1174	2045	11	21
111	1185	2066	11	21
112	1196	2087	11	21
113	1207	2097	11	10
114	1218	2118	11	21
115	1229	2139	11	21
116	1240	2160	11	21
117	1251	2181	11	21
118	1264	2202	13	21
119	1275	2223	11	21
120	1285	2244	10	21
121	1295	2265	10	21
122	1306	2286	11	21
123	1316	2307	10	21
124	1326	2328	10	21
125	1337	2349	11	21
126	1348	2370	11	21
127	1358	2391	10	21
128	1369	2412	11	21
129	1379	2433	10	21
130	1390	2454	11	21
131	1400	2475	10	21
132	1413	2496	13	21
133	1422	2517	9	21
134	1435	2538	13	21
135	1442	2552	7	14
136	1456	2573	14	21
137	1462	2594	6	21
138	1478	2615	16	21
139	1485	2636	7	21
140	1500	2657	15	21
141	1508	2678	8	21
142	1521	2699	13	21
143	1529	2720	8	21
144	1544	2741	15	21
145	1549	2762	5	21
146	1564	2783	15	21
147	1572	2804	8	21
148	1587	2825	15	21
149	1595	2846	8	21
150	1608	2867	13	21
151	1616	2888	8	21
152	1628	2897	12	9
153	1636	2910	8	13
154	1651	2931	15	21
155	1658	2952	7	21
156	1671	2973	13	21
157	1678	2994	7	21
158	1691	3015	13	21
159	1698	3036	7	21
160	1712	3057	14	21
161	1720	3078	8	21
162	1735	3099	15	21
163	1743	3120	8	21
164	1755	3141	12	21
165	1766	3162	11	21
166	1777	3183	11	21
167	1787	3204	10	21
168	1799	3225	12	21
169	1809	3246	10	21
170	1820	3267	11	21
171	1829	3288	9	21
172	1842	3309	13	21
173	1855	3330	13	21
174	1866	3351	11	21
175	1876	3372	10	21
176	1887	3393	11	21
177	1896	3414	9	21
178	1907	3435	11	21
179	1916	3456	9	21
180	1928	3477	12	21
181	1937	3498	9	21
182	1948	3519	11	21
183	1958	3540	10	21
184	1970	3561	12	21
185	1981	3582	11	21
186	1992	3603	11	21
187	2003	3624	11	21
188	2012	3645	9	21
189	2026	3666	14	21
190	2035	3687	9	21
191	2047	3708	12	21
192	2056	3729	9	21
193	2068	3750	12	21
194	2080	3760	12	10
